id,postcode,locality,state,long,lat,NEAR_FID,NEAR_DIST
11067,6401,MUMBERKINE,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11068,6401,MURESK,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11069,6401,NORTHAM,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11070,6401,ROSSMORE,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11071,6401,SOUTHERN BROOK,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11072,6401,SPENCERS BROOK,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11073,6401,THROSSELL,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11074,6401,WONGAMINE,WA,116.681726999999995,-31.640291999999999,17,82995.152675036166329
11075,6403,GRASS VALLEY,WA,116.797476000000003,-31.643902000000001,17,93013.442771042115055
11076,6405,GREENWOODS VALLEY,WA,117.020194000000004,-31.605824999999999,17,114320.773281142348424
11077,6405,MECKERING,WA,117.020194000000004,-31.605824999999999,17,114320.773281142348424
11078,6405,QUELAGETTING,WA,117.020194000000004,-31.605824999999999,17,114320.773281142348424
11079,6405,WARDING EAST,WA,117.020194000000004,-31.605824999999999,17,114320.773281142348424
11080,6407,CUNDERDIN,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11081,6407,WAEEL,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11082,6407,WATERCARRIN,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11083,6407,WYOLA,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11084,6407,WYOLA WEST,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11085,6407,YOUNDEGIN,WA,117.222061999999994,-31.651142000000000,17,131230.393430765514495
11086,6409,DOONGIN,WA,117.471029000000001,-31.605391000000001,17,155372.413120980374515
21784,6409,NORTH TAMMIN,WA,117.497821799999997,-31.515501250000000,17,160530.371464162948541
21785,6409,SOUTH TAMMIN,WA,117.491206899999995,-31.726776120000000,17,154530.317672820296139
11087,6409,TAMMIN,WA,117.471029000000001,-31.605391000000001,17,155372.413120980374515
11088,6409,YORKRAKINE,WA,117.471029000000001,-31.605391000000001,17,155372.413120980374515
11089,6410,BUNGULLA,WA,117.679992999999996,-31.579991000000000,17,175302.822738846036373
11090,6410,DAADENNING CREEK,WA,117.679992999999996,-31.579991000000000,17,175302.822738846036373
11091,6410,KELLERBERRIN,WA,117.679992999999996,-31.579991000000000,17,175302.822738846036373
11092,6410,MOUNT CAROLINE,WA,117.679992999999996,-31.579991000000000,17,175302.822738846036373
11093,6410,NORTH KELLERBERRIN,WA,117.679992999999996,-31.579991000000000,17,175302.822738846036373
11094,6411,DOODLAKINE,WA,117.905310999999998,-31.550535000000000,17,196870.205859063571552
11095,6411,SOUTH DOODLAKINE,WA,117.905310999999998,-31.550535000000000,17,196870.205859063571552
11096,6412,BAANDEE,WA,117.979822999999996,-31.601075999999999,17,202605.974122196610551
11097,6412,NORTH BAANDEE,WA,117.979822999999996,-31.601075999999999,17,202605.974122196610551
11098,6413,HINES HILL,WA,118.064042000000001,-31.555637000000001,17,211453.514869232632918
11099,6414,NANGEENAN,WA,118.167796999999993,-31.526755000000001,17,221762.207932982913917
11100,6415,GOOMARIN,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11101,6415,KORBEL,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11102,6415,MERREDIN,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11103,6415,NOKANING,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11104,6415,NORPA,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11105,6415,TANDEGIN,WA,118.289983000000007,-31.481223000000000,17,234199.440495142363943
11106,6418,BRUCE ROCK,WA,118.162599999999998,-31.895541999999999,17,216156.397274242481217
11107,6418,YARDING,WA,118.162599999999998,-31.895541999999999,17,216156.397274242481217
11108,6419,ARDATH,WA,118.097776999999994,-32.031182000000001,17,210075.818910751142539
11109,6420,CRAMPHORNE,WA,118.718261999999996,-31.748338000000000,17,269688.831411028339062
11110,6420,MUNTADGIN,WA,118.718261999999996,-31.748338000000000,17,269688.831411028339062
11111,6421,BURRACOPPIN,WA,118.524208000000002,-31.327544000000000,17,260026.882937530026538
11112,6421,CAMPION,WA,118.524208000000002,-31.327544000000000,17,260026.882937530026538
11113,6421,SOUTH BURRACOPPIN,WA,118.524208000000002,-31.327544000000000,17,260026.882937530026538
11114,6421,WARRALAKIN,WA,118.524208000000002,-31.327544000000000,17,260026.882937530026538
11115,6422,WALGOOLAN,WA,118.564404999999994,-31.384118999999998,17,262096.312690400838619
11116,6423,BOODAROCKIN,WA,118.681241999999997,-31.169257000000002,17,279495.719670419523027
11117,6423,CARRABIN,WA,118.681241999999997,-31.169257000000002,17,279495.719670419523027
21786,6423,WARRACHUPPIN,WA,118.727938699999996,-30.994235100000001,17,290373.994901501864661
11118,6423,WESTONIA,WA,118.681241999999997,-31.169257000000002,17,279495.719670419523027
11119,6424,BODALLIN,WA,118.896266999999995,-31.296344999999999,17,295108.126343880081549
11120,6424,NORTH BODALLIN,WA,118.896266999999995,-31.296344999999999,17,295108.126343880081549
11121,6424,SOUTH BODALLIN,WA,118.896266999999995,-31.296344999999999,17,295108.126343880081549
11122,6425,DULYALBIN,WA,119.143202000000002,-31.398146000000001,17,315396.571534428978339
11123,6425,MOORINE ROCK,WA,119.143202000000002,-31.398146000000001,17,315396.571534428978339
11124,6426,CORINTHIA,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11125,6426,GHOOLI,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11126,6426,HOLLETON,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11127,6426,MARVEL LOCH,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11128,6426,MOUNT HAMPTON,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11129,6426,MOUNT HOLLAND,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11130,6426,MOUNT JACKSON,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
11131,6426,MOUNT PALMER,WA,119.311267000000001,-30.361305000000002,17,371120.620305487536825
